1866 HK,China XLX Fertiliser Ltd
358 HK,Jiangxi Copper
6889 HK,Dynam Japan Holding Co Ltd
700 HK,Tencent Holdings Ltd
AAP,Advance Auto Parts Inc.
AAPL,Apple Inc.
ABAX,Abaxis Inc.
ABCO,Advisory Board Co.
ABMD,ABIOMED Inc.
ACHN,Achillion Pharmaceuticals Inc.
ACOM,Ancestry.com Inc.
ACOR,Acorda Therapeutics Inc.
ACRX,AcelRx Pharmaceuticals Inc.
ACXM,Acxiom Corporation
ADBE,Adobe Systems Incorporated
ADS,Alliance Data Systems Corporation
AEO,American Eagle Outfitters Inc.
AFAM,Almost Family Inc.
AFFX,Affymetrix Inc.
AFFY,Affymax Inc.
AGCO,AGCO Corporation
AGN,Allergan Inc.
AGU,Agrium Inc.
AH,Accretive Health Inc.
AKAM,Akamai Technologies Inc.
AKRX,Akorn Inc.
ALB,Albemarle Corporation
ALNY,Alnylam Pharmaceuticals Inc.
ALTR,Altera Corporation
ALXN,Alexion Pharmaceuticals Inc.
AMAT,Applied Materials Inc.
AMED,Amedisys Inc.
AMGN,Amgen Inc.
AMRS,Amyris Inc.
AMSC,American Superconductor Corporation
AMSG,AmSurg Corp.
AMT,American Tower Corp.
AMZN,Amazon.com Inc.
ANDE,Andersons Inc. (The)
ANF,Abercrombie & Fitch Co.
ANGO,AngioDynamics Inc.
ANN,ANN INC.
ANTH,Anthera Pharmaceuticals Inc.
AONE,A123 Systems Inc.
AOSL,Alpha and Omega Semiconductor
APEI,American Public Education Inc.
APOL,Apollo Group Inc.
ARAY,Accuray Incorporated
ARB,Arbitron Inc.
ARMH,ARM Holdings plc
ARNA,Arena Pharmaceuticals Inc.
ARO,Aeropostale Inc.
ARRY,Array BioPharma Inc.
ARTC,ArthroCare Corporation
ASML NA,ASML Holding NV
ASNA,Ascena Retail Group
ASPS,Altisource Portfolio Solutions S.A.
ATAI,ATA Inc.
ATEC,Alphatec Holdings Inc.
ATHN,athenahealth Inc.
ATHX,Athersys Inc.
ATRC,AtriCure Inc.
ATVI,Activision Blizzard Inc.
AVD,American Vanguard Corporation
AVID,Avid Technology Inc.
AXP,American Express Company
AYI,Acuity Brands Inc.
BAGL,Einstein Noah Restaurant Group Inc.
BAX,Baxter International Inc.
BBRG,Bravo Brio Restaurant Group Inc.
BBY,Best Buy Co. Inc.
BCR,C.R. Bard Inc.
BDE,Black Diamond Inc.
BDX,Becton Dickinson and Company
BECN,Beacon Roofing Supply Inc.
BG,Bunge Limited
BGFV,Big 5 Sporting Goods Corporation
BGS,B&G Foods Inc.
BIDU,Baidu.com Inc.
BIG,Big Lots Inc.
BIIB,Biogen Idec Inc.
BIM FP,bioMerieux
BJRI,BJ's Restaurants Inc.
BKW,Burger King Worldwide Inc.
BMRN,BioMarin Pharmaceutical Inc.
BODY,Body Central Corp.
BONA,Bona Film Group Limited
BORN,China New Borun Corporation
BPI,Bridgepoint Education Inc.
BRCD,Brocade Communications Systems Inc.
BSX,Boston Scientific Corporation
BV,Bazaarvoice Inc.
CAAS,China Automotive Systems Inc.
CAB,Cabela's Inc.
CACH,Cache Inc.
CAKE,Cheesecake Factory Incorporated (The)
CATM,Cardtronics Inc.
CAVM,Cavium Inc.
CBB,Cincinnati Bell Inc.
CBE,Cooper Industries plc
CBK,Christopher & Banks Corporation
CBOU,Caribou Coffee Company Inc.
CBS,CBS Corporation
CCI,Crown Castle International Corp.
CCSC,Country Style Cooking Restaurant Chain Co. Ltd.
CDNS,Cadence Design Systems Inc.
CDXS,Codexis Inc.
CE,Celanese Corporation
CECO,Career Education Corporation
CEDU,ChinaEdu Corporation
CELG,Celgene Corporation
CERE,Ceres Inc.
CERN,Cerner Corporation
CF,CF Industries Holdings Inc. Co
CFN,CareFusion Corporation
CGNX,Cognex Corp.
CHMT,Chemtura Corporation
CHRM,Charm Communications Inc.
CHS,Chico's FAS Inc.
CKEC,Carmike Cinemas Inc.
CLNE,Clean Energy Fuels Corp.
CLUB,Town Sports International Holdings Inc.
CMG,Chipotle Mexican Grill Inc.
CMI,Cummins Inc.
CMLS,Cumulus Media Inc.
CNH,CNH Global NV
CNK,Cinemark Holdings Inc.
CNMD,CONMED Corporation
CNQR,Concur Technologies Inc.
COCO,Corinthian Colleges Inc.
COH,Coach Inc.
CONN,Conns Inc.
CORT,Corcept Therapeutics Inc.
COST,Costco Wholesale Corporation
COV,Covidien Ltd.
CPHD,Cepheid
CPLA,Capella Education Company
CPSI,Computer Programs And Systems Inc.
CPTS,Conceptus Inc.
CREE,Cree Inc.
CRIS,Curis Inc.
CRM,salesforce.com inc.
CROX,Crocs Inc.
CRY,CryoLife Inc.
CSCO,Cisco Systems Inc.
CSIQ,Canadian Solar Inc.
CSOD,Cornerstone OnDemand Inc.
CSTR,Coinstar Inc.
CTL,CenturyLink Inc.
CTRP,Ctrip.com International Ltd.
CTSH,Cognizant Technology Solutions Corporation
CUTR,Cutera Inc.
CVD,Covance Inc.
CWTR,Coldwater Creek Inc.
CYBX,Cyberonics Inc.
CYD,China Yuchai International Limited
CYOU,Changyou.com Limited
DANG,E-Commerce China Dangdang Inc.
DD,EI DuPont de Nemours & Co.
DDD,3D Systems Corporation
DE,Deere & Company
DECK,Deckers Outdoor Corporation
DFRG,Del Frisco's Restaurant Group Inc.
DG,Dollar General Corporation
DGI,DigitalGlobe Inc.
DGII,Digi International Inc.
DGIT,Digital Generation Inc.
DGX,Quest Diagnostics Incorporated
DIS,Walt Disney Company (The)
DISCA,Discovery Communications Inc.
DKS,Dick's Sporting Goods Inc.
DL,China Distance Education
DLB,Dolby Laboratories Inc.
DLLR,Dollar Financial Corp.
DLTR,Dollar Tree Stores Inc.
DM,The Dolan Company
DNB,Dun & Bradstreet Corp.
DNKN,Dunkin' Brands Group Inc.
DQ,Daqo New Energy Corp.
DRI,Darden Restaurants Inc.
DRIV,Digital River Inc.
DRRX,DURECT Corporation
DSCI,Derma Sciences Inc.
DTSI,DTS Inc.
DV,DeVry Inc.
DVA,DaVita Inc.
DVOX,DynaVox Inc.
DWA,DreamWorks Animation SKG Inc.
DXCM,DexCom Inc.
EA,Electronic Arts Inc.
EAT,Brinker International Inc.
EBAY,eBay Inc.
EBS,Emergent BioSolutions Inc.
ECPG,Encore Capital Group Inc.
EDMC,Education Management Corporation
EDU,New Oriental Education & Technology Group Inc.
EEFT,Euronet Worldwide Inc.
EL,Estee Lauder Companies Inc.
ELGX,Endologix Inc.
ELLI,Ellie Mae Inc.
ELON,Echelon Corporation
EMC,EMC Corporation
ENDP,Endo Pharmaceuticals Holdings Inc.
ENOC,EnerNOC Inc.
ENS,EnerSys
EPOC,Epocrates Inc.
EQIX,Equinix Inc.
ES,EnergySolutions Inc
ESI,ITT Educational Services Inc.
EVAC,Edwards Group Limited
EW,Edwards Lifesciences Corporation
EXAS,Exact Sciences Corporation
EXEL,Exelixis Inc.
EXPE,Expedia Inc.
EXPR,Express Inc.
FB,Facebook Inc.
FDO,Family Dollar Stores Inc.
FDS,FactSet Research Systems Inc.
FFIV,F5 Networks Inc.
FIO,Fusion-io Inc.
FLDM,Fluidigm Corporation
FMS,Fresenius Medical Care AG
FN,Fabrinet
FNGN,Financial Engines Inc.
FNSR,Finisar Corporation
FOSL,Fossil Inc.
FRX,Forest Laboratories Inc.
FSL,Freescale Semiconductor Inc.
FSLR,First Solar Inc.
FTR,Frontier Communications Corporation
GA,Giant Interactive Group Inc.
GAGA,Le Gaga Holdings Limited
GAME,Shanda Games Limited
GB,Greatbatch Inc.
GCO,Genesco Inc.
GDOT,Green Dot Corporation
GES,Guess? Inc.
GEVA,Synageva BioPharma Corp.
GEVO,Gevo Inc.
GHDX,Genomic Health Inc.
GIII,G-III Apparel Group Ltd.
GILD,Gilead Sciences Inc.
GLUU,Glu Mobile Inc.
GLW,Corning Incorporated
GM,General Motors Company
GMAN,Gordmans Stores Inc.
GMCR,Green Mountain Coffee Roasters Inc.
GME,GameStop Corp.
GMED,Globus Medical Inc.
GNMK,GenMark Diagnostics Inc.
GOOG,Google Inc.
GPN,Global Payments Inc.
GPRE,Green Plains Renewable Energy Inc.
GPS,Gap Inc.
GRPN,Groupon Inc.
GTAT,GT Advanced Technologies
GTIV,Gentiva Health Services Inc.
GTLS,Chart Industries Inc.
GWAY,Greenway Medical Technologies
HAIN,Hain Celestial Group Inc. (The)
HD,Home Depot Inc. (The)
HGG,hhgregg Inc.
HIBB,Hibbett Sports Inc.
HLSS,Home Loan Servicing Solutions Ltd.
HNSN,Hansen Medical Inc.
HOGS,Zhongpin Inc.
HOLI,Hollysys Automation Technologies Ltd
HOLX,Hologic Inc.
HOTT,Hot Topic Inc.
HPY,Heartland Payment Systems Inc.
HRC,Hill-Rom Holdings Inc.
HSIC,Henry Schein Inc.
HSNI,HSN Inc.
HTWR,HeartWare International Inc.
HUN,Huntsman Corporation
HWAY,Healthways Inc.
IACI,InterActiveCorp
IART,Integra LifeSciences Holdings Corporation
IDXX,IDEXX Laboratories Inc.
IHS,IHS Inc.
ILMN,Illumina Inc.
IMAX,IMAX Corporation
INAP,Internap Network Services Corporation
INCY,Incyte Corporation
INFA,Informatica Corp.
INFI,Infinity Pharmaceuticals Inc.
INFY,Infosys Technologies Limited
INTC,Intel Corporation
INVN,InvenSense Inc.
INXN,Interxion Holding N.V.
IPAR,Inter Parfums Inc.
IPCM,IPC The Hospitalist Co.
IPG,The Interpublic Group of Companies Inc.
IPGP,IPG Photonics Corporation
IPHI,Inphi Corporation
IPXL,Impax Laboratories Inc.
IRG,Ignite Restaurant Group Inc.
IRM,Iron Mountain Inc.
ISIS,ISIS Pharmaceuticals Inc.
IT,Gartner Inc.
ITRI,Itron Inc.
JASO,JA Solar Holdings Co. Ltd.
JAZZ,Jazz Pharmaceuticals Inc.
JCI,Johnson Controls Inc.
JCOM,j2 Global Communications Inc.
JCP,J. C. Penney Company Inc.
JDSU,JDS Uniphase Corporation
JNJ,Johnson & Johnson
JNPR,Juniper Networks Inc.
JWN,Nordstrom Inc.
KH,China Kanghui Holdings
KIOR,KiOR Inc.
